Year,Month,Day,Hour,Minute,Close
2023,4,9,20,38,27906.29000000
2023,4,9,20,39,27902.63000000
2023,4,9,20,40,27902.62000000
2023,4,9,20,41,27886.96000000
2023,4,9,20,42,27876.69000000
2023,4,9,20,43,27876.69000000
2023,4,9,20,44,27876.70000000
2023,4,9,20,45,27876.70000000
2023,4,9,20,46,27877.24000000
2023,4,9,20,47,27880.12000000
2023,4,9,20,48,27880.13000000
2023,4,9,20,49,27886.67000000
2023,4,9,20,50,27886.68000000
2023,4,9,20,51,27886.67000000
2023,4,9,20,52,27907.00000000
2023,4,9,20,53,27929.01000000
2023,4,9,20,54,27925.52000000
2023,4,9,20,55,27918.41000000
2023,4,9,20,56,27917.29000000
2023,4,9,20,57,27917.29000000
2023,4,9,20,58,27906.68000000
2023,4,9,20,59,27906.68000000
2023,4,9,21,0,27912.82000000
2023,4,9,21,1,27916.07000000
2023,4,9,21,2,27916.73000000
2023,4,9,21,3,27916.73000000
2023,4,9,21,4,27916.74000000
2023,4,9,21,5,27916.74000000
2023,4,9,21,6,27916.74000000
2023,4,9,21,7,27916.75000000
2023,4,9,21,8,27919.47000000
2023,4,9,21,9,27919.46000000
2023,4,9,21,10,27919.67000000
2023,4,9,21,11,27919.66000000
2023,4,9,21,12,27919.66000000
2023,4,9,21,13,27919.85000000
2023,4,9,21,14,27936.23000000
2023,4,9,21,15,27939.31000000
2023,4,9,21,16,27939.31000000
2023,4,9,21,17,27926.76000000
2023,4,9,21,18,27926.76000000
2023,4,9,21,19,27926.68000000
2023,4,9,21,20,27926.67000000
2023,4,9,21,21,27926.34000000
2023,4,9,21,22,27924.27000000
2023,4,9,21,23,27924.28000000
2023,4,9,21,24,27924.28000000
2023,4,9,21,25,27926.13000000
2023,4,9,21,26,27926.13000000
2023,4,9,21,27,27926.13000000
2023,4,9,21,28,27926.13000000
2023,4,9,21,29,27925.24000000
2023,4,9,21,30,27925.25000000
2023,4,9,21,31,27918.79000000
2023,4,9,21,32,27924.49000000
2023,4,9,21,33,27923.93000000
2023,4,9,21,34,27923.92000000
2023,4,9,21,35,27923.93000000
2023,4,9,21,36,27924.93000000
2023,4,9,21,37,27925.23000000
2023,4,9,21,38,27925.24000000
2023,4,9,21,39,27925.24000000
2023,4,9,21,40,27925.24000000
2023,4,9,21,41,27925.24000000
2023,4,9,21,42,27941.76000000
2023,4,9,21,43,27942.99000000
2023,4,9,21,44,27942.98000000
2023,4,9,21,45,27938.23000000
2023,4,9,21,46,27938.24000000
2023,4,9,21,47,27938.23000000
2023,4,9,21,48,27944.07000000
2023,4,9,21,49,27937.67000000
2023,4,9,21,50,27937.64000000
2023,4,9,21,51,27937.64000000
2023,4,9,21,52,27962.26000000
2023,4,9,21,53,28025.00000000
2023,4,9,21,54,28007.35000000
2023,4,9,21,55,28037.53000000
2023,4,9,21,56,28018.84000000
2023,4,9,21,57,28000.48000000
2023,4,9,21,58,28019.46000000
2023,4,9,21,59,28026.72000000
2023,4,9,22,0,28031.79000000
2023,4,9,22,1,28017.06000000
2023,4,9,22,2,28014.12000000
2023,4,9,22,3,28000.00000000
2023,4,9,22,4,28009.44000000
2023,4,9,22,5,28006.83000000
2023,4,9,22,6,28005.73000000
2023,4,9,22,7,28011.70000000
2023,4,9,22,8,28011.95000000
2023,4,9,22,9,28013.54000000
2023,4,9,22,10,28009.42000000
2023,4,9,22,11,28018.14000000
2023,4,9,22,12,28017.56000000
2023,4,9,22,13,28049.99000000
2023,4,9,22,14,28084.99000000
2023,4,9,22,15,28104.33000000
2023,4,9,22,16,28111.67000000
2023,4,9,22,17,28205.01000000
2023,4,9,22,18,28177.77000000
2023,4,9,22,19,28206.60000000
2023,4,9,22,20,28230.99000000
2023,4,9,22,21,28206.07000000
2023,4,9,22,22,28226.62000000
2023,4,9,22,23,28228.36000000
2023,4,9,22,24,28219.99000000
2023,4,9,22,25,28219.44000000
2023,4,9,22,26,28235.85000000
2023,4,9,22,27,28225.14000000
2023,4,9,22,28,28226.74000000
2023,4,9,22,29,28189.93000000
2023,4,9,22,30,28217.58000000
2023,4,9,22,31,28205.31000000
2023,4,9,22,32,28200.01000000
2023,4,9,22,33,28205.51000000
2023,4,9,22,34,28182.73000000
2023,4,9,22,35,28160.01000000
2023,4,9,22,36,28134.48000000
2023,4,9,22,37,28101.35000000
2023,4,9,22,38,28112.51000000
2023,4,9,22,39,28133.02000000
2023,4,9,22,40,28121.56000000
2023,4,9,22,41,28131.91000000
2023,4,9,22,42,28135.09000000
2023,4,9,22,43,28130.77000000
2023,4,9,22,44,28099.38000000
2023,4,9,22,45,28086.85000000
2023,4,9,22,46,28096.55000000
2023,4,9,22,47,28120.75000000
2023,4,9,22,48,28112.91000000
2023,4,9,22,49,28121.82000000
2023,4,9,22,50,28135.34000000
2023,4,9,22,51,28129.41000000
2023,4,9,22,52,28124.49000000
2023,4,9,22,53,28124.49000000
2023,4,9,22,54,28132.40000000
2023,4,9,22,55,28138.01000000
2023,4,9,22,56,28148.79000000
2023,4,9,22,57,28134.09000000
2023,4,9,22,58,28136.75000000
2023,4,9,22,59,28140.40000000
2023,4,9,23,0,28142.73000000
2023,4,9,23,1,28142.74000000
2023,4,9,23,2,28154.99000000
2023,4,9,23,3,28160.67000000
2023,4,9,23,4,28142.16000000
2023,4,9,23,5,28133.27000000
2023,4,9,23,6,28133.00000000
2023,4,9,23,7,28132.45000000
2023,4,9,23,8,28124.30000000
2023,4,9,23,9,28121.23000000
2023,4,9,23,10,28116.86000000
2023,4,9,23,11,28114.19000000
2023,4,9,23,12,28114.95000000
2023,4,9,23,13,28114.94000000
2023,4,9,23,14,28116.87000000
2023,4,9,23,15,28123.46000000
2023,4,9,23,16,28129.06000000
2023,4,9,23,17,28129.09000000
2023,4,9,23,18,28120.58000000
2023,4,9,23,19,28123.93000000
2023,4,9,23,20,28119.45000000
2023,4,9,23,21,28114.41000000
2023,4,9,23,22,28102.79000000
2023,4,9,23,23,28094.51000000
2023,4,9,23,24,28101.45000000
2023,4,9,23,25,28118.91000000
2023,4,9,23,26,28098.24000000
2023,4,9,23,27,28112.99000000
2023,4,9,23,28,28115.33000000
2023,4,9,23,29,28115.32000000
2023,4,9,23,30,28134.24000000
2023,4,9,23,31,28136.75000000
2023,4,9,23,32,28126.77000000
2023,4,9,23,33,28129.90000000
2023,4,9,23,34,28131.54000000
2023,4,9,23,35,28131.53000000
2023,4,9,23,36,28115.89000000
2023,4,9,23,37,28114.90000000
2023,4,9,23,38,28114.89000000
2023,4,9,23,39,28123.82000000
2023,4,9,23,40,28123.81000000
2023,4,9,23,41,28123.81000000
2023,4,9,23,42,28120.25000000
2023,4,9,23,43,28120.10000000
2023,4,9,23,44,28120.79000000
2023,4,9,23,45,28118.77000000
2023,4,9,23,46,28110.02000000
2023,4,9,23,47,28105.75000000
2023,4,9,23,48,28106.68000000
2023,4,9,23,49,28100.00000000
2023,4,9,23,50,28111.02000000
2023,4,9,23,51,28111.02000000
2023,4,9,23,52,28115.97000000
2023,4,9,23,53,28121.00000000
2023,4,9,23,54,28113.48000000
2023,4,9,23,55,28115.75000000
2023,4,9,23,56,28102.93000000
2023,4,9,23,57,28105.53000000
2023,4,9,23,58,28113.41000000
2023,4,9,23,59,28114.63000000
2023,4,10,0,0,28117.97000000
2023,4,10,0,1,28121.00000000
2023,4,10,0,2,28142.57000000
2023,4,10,0,3,28150.11000000
2023,4,10,0,4,28140.86000000
2023,4,10,0,5,28140.14000000
2023,4,10,0,6,28121.70000000
2023,4,10,0,7,28115.15000000
2023,4,10,0,8,28115.16000000
2023,4,10,0,9,28115.16000000
2023,4,10,0,10,28130.50000000
2023,4,10,0,11,28132.16000000
2023,4,10,0,12,28168.06000000
2023,4,10,0,13,28190.51000000
2023,4,10,0,14,28174.60000000
2023,4,10,0,15,28172.59000000
2023,4,10,0,16,28183.70000000
2023,4,10,0,17,28181.31000000
2023,4,10,0,18,28177.93000000
2023,4,10,0,19,28173.39000000
2023,4,10,0,20,28170.57000000
2023,4,10,0,21,28160.24000000
2023,4,10,0,22,28154.69000000
2023,4,10,0,23,28158.39000000
2023,4,10,0,24,28147.37000000
2023,4,10,0,25,28166.20000000
2023,4,10,0,26,28167.65000000
2023,4,10,0,27,28179.99000000
2023,4,10,0,28,28181.85000000
2023,4,10,0,29,28315.68000000
2023,4,10,0,30,28253.80000000
2023,4,10,0,31,28254.05000000
2023,4,10,0,32,28255.62000000
2023,4,10,0,33,28277.84000000
2023,4,10,0,34,28291.73000000
2023,4,10,0,35,28278.88000000
2023,4,10,0,36,28297.43000000
2023,4,10,0,37,28309.35000000
2023,4,10,0,38,28301.88000000
2023,4,10,0,39,28306.63000000
2023,4,10,0,40,28341.37000000
2023,4,10,0,41,28318.30000000
2023,4,10,0,42,28309.90000000
2023,4,10,0,43,28315.19000000
2023,4,10,0,44,28324.72000000
2023,4,10,0,45,28343.59000000
2023,4,10,0,46,28353.01000000
2023,4,10,0,47,28361.00000000
2023,4,10,0,48,28375.00000000
2023,4,10,0,49,28376.72000000
2023,4,10,0,50,28399.99000000
2023,4,10,0,51,28450.71000000
2023,4,10,0,52,28410.01000000
2023,4,10,0,53,28373.50000000
2023,4,10,0,54,28400.71000000
2023,4,10,0,55,28417.38000000
2023,4,10,0,56,28437.76000000
2023,4,10,0,57,28437.76000000
2023,4,10,0,58,28439.44000000
2023,4,10,0,59,28437.19000000
2023,4,10,1,0,28466.18000000
2023,4,10,1,1,28508.27000000
2023,4,10,1,2,28481.79000000
2023,4,10,1,3,28483.98000000
2023,4,10,1,4,28470.00000000
2023,4,10,1,5,28511.55000000
2023,4,10,1,6,28516.86000000
2023,4,10,1,7,28486.06000000
